432,61,475,81,1
483,64,538,86,1
461,15,498,34,1
496,18,527,37,1
523,21,545,38,1
436,14,463,34,1
401,35,455,56,1
486,40,522,57,1
415,9,438,29,1
453,37,489,55,1
517,41,554,60,1
472,67,485,82,1
411,61,433,79,1
399,0,460,106,1
458,86,499,104,1
507,88,538,109,1
498,90,510,103,1
36,0,464,130,1
462,108,503,126,1
501,112,512,126,1
510,112,539,126,1
504,304,556,330,1
815,59,886,88,1
878,66,928,92,1
808,83,915,114,1
431,322,457,344,1
487,312,501,334,1
398,135,516,153,1
806,113,906,124,1
808,132,836,145,1
833,132,857,143,1
853,133,886,146,1
810,146,871,158,1
