416,243,477,263,1
420,248,556,276,1
516,139,595,162,1
593,145,646,163,1
644,148,673,165,1
479,136,517,158,1
672,150,701,166,1
406,176,483,211,1
699,152,714,167,1
646,179,683,203,1
711,152,739,170,1
772,179,810,200,1
414,208,488,228,1
413,224,530,244,1
423,267,504,295,1
442,282,513,312,1
461,296,507,316,1
482,310,525,331,1
647,193,752,391,1
773,202,834,325,1
828,173,870,212,1
1035,145,986,211,1
858,198,936,238,1
862,295,905,324,1
860,397,903,426,1
771,381,803,405,1
952,488,992,516,1
