864,388,1116,402,1
587,148,690,188,1
691,406,735,425,1
731,403,784,423,1
988,36,1065,78,1
970,68,990,83,1
930,72,969,92,1
947,91,1031,120,1
951,122,992,141,1
970,191,1046,211,1
971,293,1086,316,1
589,166,690,198,1
693,430,764,440,1
861,378,921,388,1
657,408,694,427,1
866,405,883,413,1
868,415,969,426,1
873,437,950,446,1
885,444,1054,453,1
886,452,1066,460,1
880,476,910,484,1
885,495,928,504,1
885,502,931,511,1
885,509,961,518,1
806,229,899,263,1
539,169,567,184,1
504,185,536,203,1
504,194,542,213,1
