811,79,858,96,1
835,113,868,130,1
524,108,541,122,1
544,107,567,120,1
493,130,518,145,1
498,111,515,125,1
519,127,542,143,1
284,141,314,177,1
542,124,568,141,1
745,67,773,84,1
748,104,775,120,1
776,100,814,116,1
816,110,873,99,1
775,115,836,137,1
751,123,776,138,1
747,103,812,98,1
768,138,807,154,1
274,120,308,145,1
470,100,494,98,1
504,105,519,98,1
519,102,553,95,1
584,89,600,98,1
600,87,634,97,1
644,80,669,92,1
475,114,489,126,1
477,134,491,145,1
291,174,310,189,1
277,186,326,211,1
309,131,319,148,1
690,215,721,231,1
755,208,798,234,1
722,212,747,219,1
