696,4,734,15,1
673,96,727,114,1
761,54,831,75,1
643,35,739,65,1
770,0,868,24,1
946,454,1061,489,1
1056,463,1147,500,1
1,50,124,86,1
552,91,609,108,1
755,96,817,113,1
755,105,817,119,1
921,5,990,23,1
918,16,989,33,1
545,19,583,31,1
547,26,582,38,1
541,34,591,44,1
594,39,619,49,1
545,41,586,51,1
553,72,612,98,1
592,46,614,54,1
765,44,823,60,1
879,124,950,136,1
977,404,994,413,1
965,411,1004,422,1
960,419,1004,430,1
1023,408,1062,421,1
1020,416,1064,429,1
1018,424,1061,437,1
1077,414,1122,427,1
1081,425,1116,433,1
1076,432,1118,444,1
677,90,728,101,1
898,106,936,127,1
916,63,941,75,1
864,128,956,145,1
787,118,814,127,1
648,130,962,170,1
190,0,367,25,1
